code;url;product_name;brands;stores;traces_fr;nutrition_grade_fr;main_category_fr;energy_100g;fat_100g;saturated-fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g;countries_fr
18999;http://world-fr.openfoodfacts.org/produit/00018999/porridge-de-riz-marks-spencer;Porridge de Riz;Marks&Spencer,Marks & Spencer;Marks & Spencer;;a;Petit-déjeuners;1431.0;1.6;0.3;73;0.6;3.6;7.0;0.08;France
28202;http://world-fr.openfoodfacts.org/produit/00028202/cornish-cruncher-cheddar-pickled-onion-hand-cooked-m-s;Cornish Cruncher Cheddar & Pickled Onion Hand Cooked;M&S;;;c;Chips et frites;2049.0;26.5;3.2;53.7;2.5;6.3;6.2;1.18;France
107860;http://world-fr.openfoodfacts.org/produit/00107860/chips-de-legumes-marche-franprix;Chips de légumes;Marché Franprix;;;;Chips et frites;;;;;;;;;France
186803;http://world-fr.openfoodfacts.org/produit/00186803/pressed-costa-rican-pineapple-with-a-hint-of-lime-juice-m-s;Pressed Costa Rican Pineapple with a Hint of Lime Juice;M&S,Marks & Spencer;Marks & Spencer;;d;Jus de fruits 100% pur jus;314.0;0.1;0.1;12;11.8;0.1;0.4;0.1;France
20685000935;http://world-fr.openfoodfacts.org/produit/0020685000935/hand-cooked-potato-chips-cape-cod;Hand Cooked Potato Chips;Cape Cod;;Gluten,Lait;d;Chips et frites;2126.0;26.8;2.1;59.8;2.8;3.7;5.2;2.43;France
30000064030;http://world-fr.openfoodfacts.org/produit/0030000064030/oatmeal-squares-quaker;Oatmeal Squares;Quaker;;;a;Petit-déjeuners;1569.0;4.5;0.9;78;16;8.9;10.7;0.309999999999999;France
30000065075;http://world-fr.openfoodfacts.org/produit/0030000065075/peanut-butter-crunch-cap-n-crunch-s;Peanut Butter Crunch;Cap'n Crunch's;;;d;Petit-déjeuners;1700.0;9.26;3.7;77.8;33.3;3.7;7.41;1.88;France
319225;http://world-fr.openfoodfacts.org/produit/00319225/maple-syrup-flavour-porridge-marks-spencer;Maple Syrup Flavour Porridge;Marks & Spencer;;Gluten;b;Petit-déjeuners;1527.0;4.0;0.7;66.1;22.6;6.4;13.0;0.23;France
322850;http://world-fr.openfoodfacts.org/produit/00322850/golden-syrup-porridge-marks-spencer;Golden Syrup Porridge;Marks & Spencer;;Gluten,Lait,Fruits à coque,Arachides;a;Petit-déjeuners;1577.0;4.9;0.8;70.5;21.2;7.29;9.2;0.0299999999999999;France
372060;http://world-fr.openfoodfacts.org/produit/00372060/chips-de-patate-douce-panais-et-betterave-m-s;Chips de patate douce, panais et betterave;M&S;;;d;Chips et frites;2201.0;35.3;3.8;42.2;23.6;9.9;4.8;1;France
37617390248;http://world-fr.openfoodfacts.org/produit/0037617390248/pom-pur-jus-de-pomme-le-verger-de-la-renette;Pom Pur Jus de pomme;Le Verger de la Renette;;;;Jus de pomme;;;;;;;;;France
48500309223;http://world-fr.openfoodfacts.org/produit/0048500309223/tropicana-pure-premium-100-pure-reduced-acid-orange-juice-with-calcium-and-vitamins-a-c;Tropicana Pure Premium 100% pure reduced acid orange juice with calcium and vitamins A & C;;;;;Jus d'orange 100% pur jus;;;;;;;;;France
524889;http://world-fr.openfoodfacts.org/produit/00524889/blackcurrant-high-juice-marks-spencer;Blackcurrant High Juice;Marks & Spencer;Marks & Spencer;;b;Jus de fruits;18.0;0.1;0.1;0.7;0.7;0.1;0.0;0.0499999999999999;France
55742521122;http://world-fr.openfoodfacts.org/produit/0055742521122/jus-de-pomme-et-de-raisin-compliments;Jus De Pomme Et De Raisin;Compliments;;;c;Jus de fruits à base de concentré;188.0;0.0;0.0;11.5;10.5;0.0;0.0;0.0191;France
