code;url;product_name;brands;stores;traces_fr;nutrition_grade_fr;main_category_fr;energy_100g;fat_100g;saturated-fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g
20669188;http://world-fr.openfoodfacts.org/produit/20669188/biscino-black-white-sondey;Biscino Black & white;Sondey;Lidl;;e;caca;2202;28.5;18.2;61.1;43.3;;5.7;0.5
18999;http://world-fr.openfoodfacts.org/produit/00018999/porridge-de-riz-marks-spencer;Porridge de Riz;Marks&Spencer,Marks & Spencer;Marks & Spencer;;a;Petit-déjeuners;1431;1.6;0.3;73;0.6;3.6;7;0.08
28202;http://world-fr.openfoodfacts.org/produit/00028202/cornish-cruncher-cheddar-pickled-onion-hand-cooked-m-s;Cornish Cruncher Cheddar & Pickled Onion Hand Cooked;M&S;;;c;Chips et frites;2049;26.5;3.2;53.7;2.5;6.3;6.2;1.18
31858;http://world-fr.openfoodfacts.org/produit/00031858/pur-soup-veloute-de-legumes-liebig;Pur Soup' Velouté de légumes;Liebig;U Express;;b;Soupes;188;2.1;0.7;5.3;2.4;0.8;0.8;0.75
99233;http://world-fr.openfoodfacts.org/produit/00099233/cheese-twists-marks-spencer;Cheese Twists;Marks & Spencer;Marks & Spencer;;e;Biscuits;2155;28.7;18.5;50.5;2.6;3.3;12.1;1.85
107860;http://world-fr.openfoodfacts.org/produit/00107860/chips-de-legumes-marche-franprix;Chips de légumes;Marché Franprix;;;;Chips et frites;;;;;;;;
1151;http://world-fr.openfoodfacts.org/produit/001151/mini-crepes-chocolait-bijou;Mini Crêpes ChocoLait;Bijou;Correspondance;Œufs,Fruits à coque,Graines de sésame;e;Biscuits;2018;18;11;72;48;1.7;6.7;0.2
156738;http://world-fr.openfoodfacts.org/produit/00156738/milk-chocolate-orange-biscuits-marks-spencer;Milk Chocolate Orange Biscuits;Marks & Spencer;Marks & Spencer;Fruits à coque,Arachides;e;Biscuits;2142;25.7;14.8;62.3;48.9;2.5;6.5;0.28
16229910204;http://world-fr.openfoodfacts.org/produit/0016229910204/soupe-tom-yum-aux-legumes-aroy-d;Soupe Tom Yum aux légumes;AROY-D;Carré asiatique;Graines de sésame;b;Soupes;307;5.33;2;5;3.33;2;1.33;0.627
1664;http://world-fr.openfoodfacts.org/produit/001664/brins-de-chococaramel-bijou;Brins de ChocoCaramel;Bijou;Correspondance;Œufs,Graines de sésame,Soja;e;Biscuits;1960;16;9.5;75;50;1;5;0.28
186803;http://world-fr.openfoodfacts.org/produit/00186803/pressed-costa-rican-pineapple-with-a-hint-of-lime-juice-m-s;Pressed Costa Rican Pineapple with a Hint of Lime Juice;M&S,Marks & Spencer;Marks & Spencer;;d;Jus de fruits 100% pur jus;314;0.1;0.1;12;11.8;0.1;0.4;0.1
20685000935;http://world-fr.openfoodfacts.org/produit/0020685000935/hand-cooked-potato-chips-cape-cod;Hand Cooked Potato Chips;Cape Cod;;Gluten,Lait;d;Chips et frites;2126;26.8;2.1;59.8;2.8;3.7;5.2;2.43
30000064030;http://world-fr.openfoodfacts.org/produit/0030000064030/oatmeal-squares-quaker;Oatmeal Squares;Quaker;;;a;Petit-déjeuners;1569;4.5;0.9;78;16;8.9;10.7;0.309999999999999
30000065075;http://world-fr.openfoodfacts.org/produit/0030000065075/peanut-butter-crunch-cap-n-crunch-s;Peanut Butter Crunch;Cap'n Crunch's;;;d;Petit-déjeuners;1700;9.26;3.7;77.8;33.3;3.7;7.41;1.88
31784989021;http://world-fr.openfoodfacts.org/produit/0031784989021/biscuits-danois-drakkar;Biscuits danois;Drakkar;;Œufs,Fruits à coque;;Biscuits;;;;;;;;
